*********1*********2*********3*********4*********5*********6*********7*********8
*2345678901234567890123456789012345678901234567890123456789012345678901234567890
********************************************************************************
******************* File generated by Aqwa in Workbench 2025 R1 ****************
********************************************************************************
* Project Title                   : 
* Project Reference               : 
* Project Author                  : 
* Project Description             : 
* Date of Creation                : 2/4/2025 1:18:20 PM
* Last Modified                   : 7/17/2025 10:33:39 AM
* This analysis file written at   : 7/17/2025 10:33:54 AM
* Hydrodynamic Solver Unit System : Metric: kg, m [N]
********************************************************************************
*********************************** DECK  0 ************************************
********************************************************************************
JOB AQWA  LINE        c4325767f6e4916af1bc3ecf1ca586548fcd3ad
     1   68         -0.1444126-3.6861e-2-0.1502249
     1   69          0.1682714  0.251786 -0.508224
     1   70         -7.1843e-2 7.1841e-2  0.258348
     1   71         -1.5457e-2 0.1003015 7.9183e-2
     1   72           2.089e-2 0.1911632 -0.508224
     1   73            3.81e-2 -9.357e-2 0.1984985
     1   74          0.1918968 0.2336576 -0.508224
     1   75         -7.1221e-2 7.1581e-2 0.2383772
     1   76         -0.1171584 0.2807728-0.2697775
     1   77          -0.118222 0.2803631-0.3591976
     1   78         -0.2256671 7.0176e-4-0.1943261
     1   79          0.1755699 0.2096314 -0.508224
     1   80          4.0703e-3 0.1014508 7.9136e-2
     1   81         -5.0732e-3 0.1868489 -0.508224
     1   82          1.9019e-2-9.9197e-2 0.1985047
     1   83         -5.6122e-2 8.3905e-2  0.258348
     1   84         -0.1441489 0.2677964-0.2697696
     1   85         -0.1453369 0.2671453-0.3591917
     1   86          -0.248926-2.5134e-2 -0.208716
     1   87         -5.5937e-2 8.4264e-2 0.2383761
     1   88          2.3965e-2 9.8487e-2 7.9115e-2
     1   89            -0.3048-3.733e-17 -0.508224
     1   90         -0.2510242 1.0038e-3-0.2089719
     1   91         -7.2639e-4-0.1010417 0.1985091
     1   92         -0.2727523-3.6076e-3 -0.508224
     1   93         -0.1696113 0.2527846-0.2697621
     1   94         -0.1706808 0.2519966-0.3592273
     1   95         -0.2701266-3.1616e-2 -0.508224
     1   96         -3.8548e-2 9.3063e-2  0.258348
     1   97          4.2788e-2 9.1755e-2 7.9144e-2
     1   98         -2.0471e-2-9.9321e-2 0.1985157
     1   99         -0.2442739-5.2036e-2-0.2082914
     1  100         -0.3009129-2.9525e-2 -0.508224
     1  101         -3.8617e-2 9.3814e-2 0.2383777
     1  102         -0.1932568 0.2353625-0.2697732
     1  103         -0.1943519 0.2345556-0.3592505
     1  104          5.9944e-2 8.1583e-2 7.9162e-2
     1  105         -3.9286e-2-9.3644e-2 0.1985151
     1  106         -0.2379452-7.8941e-2-0.2088848
     1  107         -1.9647e-2 9.9013e-2  0.258348
     1  108          -0.267795 -5.828e-2 -0.508224
     1  109         -0.2152992 0.2148579-0.2697834
     1  110         -0.1484667 0.1039927 -0.508224
     1  111         -0.2158164 0.2143577-0.3592303
     1  112         -1.9797e-2 9.9449e-2 0.2383748
     1  113         -0.2970259 -5.905e-2 -0.508224
     1  114          7.4892e-2  6.821e-2 7.9188e-2
     1  115         -5.6494e-2-8.4014e-2 0.1985149
     1  116         -0.2288766-0.1059535-0.2098868
     1  117         -0.2352985 0.1927507-0.2697595
     1  118         -0.1618894 8.3834e-2 -0.508224
     1  119         -0.2357352 0.1921977-0.3592176
     1  120         -4.6769e-7 0.1015999  0.258348
     1  121          8.6858e-2 5.2376e-2 7.9186e-2
     1  122         -0.2620436-8.6075e-2 -0.508224
     1  123         -7.1735e-2-7.1173e-2 0.1985124
     1  124         -0.2204342-0.1297878-0.2120426
     1  125         -2.9664e-5 0.1011167 0.2383732
     1  126          -0.290588-8.8125e-2 -0.508224
     1  127         -0.2533794 0.1689727 -0.269769
     1  128         -0.2536073  0.168588-0.3591877
     1  129          9.5564e-2 3.4461e-2 7.9195e-2
     1  130         -0.1600208 9.1174e-4-0.1564293
     1  131         -8.4219e-2-5.5593e-2  0.198507
     1  132          6.5175e-2-5.2201e-2 -0.508224
     1  133          1.9646e-2 9.9014e-2  0.258348
     1  134         -0.2505005-0.1113794 -0.508224
     1  135         -0.2685293 0.1433946-0.2697761
     1  136         -0.1514691 1.5206e-2-0.1520608
     1  137          8.3814e-2 -3.514e-2 -0.508224
     1  138         -0.2688254 0.1428948-0.3592033
     1  139          1.9713e-2 9.9021e-2 0.2383711
     1  140         -0.2791915-0.1156389 -0.508224
     1  141          0.1000335 1.5506e-2 7.9238e-2
     1  142          0.1065359-5.4159e-2 -0.508224
     1  143         -9.3665e-2-3.8017e-2  0.198505
     1  144         -0.2811552  0.115971-0.2697706
     1  145         -0.2812774 0.1156829-0.3591877
     1  146         -0.2246574 0.1089608-0.2083185
     1  147          3.8548e-2 9.3063e-2  0.258348
     1  148          0.1012359-4.3667e-3 7.9244e-2
     1  149         -0.2677942-0.1431543 -0.508224
     1  150          0.1450861-5.1234e-2 -0.508224
     1  151         -9.9461e-2-1.9065e-2 0.1985001
     1  152          3.8754e-2 9.3219e-2 0.2383712
     1  153         -0.2912008  8.806e-2-0.2697788
     1  154         -0.2913593 8.7482e-2-0.3591858
     1  155          0.1599238 3.2415e-2 -0.158444
     1  156          9.8295e-2-2.4115e-2 7.9261e-2
     1  157         -0.2517866-0.1682706 -0.508224
     1  158         -0.1512534-0.2075065 -0.508224
     1  159           0.177836 3.7897e-2 -0.169233
     1  160          5.6121e-2 8.3905e-2  0.258348
     1  161         -0.2988991 5.9174e-2-0.2697715
     1  162          -0.101443 4.6964e-3-6.1361e-2
     1  163         -0.2989697 5.8649e-2-0.3592009
     1  164          0.1652638 6.1836e-2-0.1660195
     1  165          5.6364e-2 8.3891e-2 0.2383711
     1  166          9.1572e-2-4.3016e-2 7.9214e-2
     1  167         -0.1412819 0.2129161 -0.508224
     1  168         -7.1117e-2  0.139524 -0.508224
     1  169          0.1454905 4.6904e-2 -0.152362
     1  170         -9.8608e-2 2.4299e-2-6.1498e-2
     1  171         -0.1212867 0.2133695 -0.508224
     1  172         -0.3028995 2.9429e-2-0.2697724
     1  173         -0.3029889 2.8764e-2-0.3591986
     1  174         -0.1216687 0.1821318 -0.508224
     1  175          7.1842e-2 7.1842e-2  0.258348
     1  176          8.1596e-2-6.0145e-2 7.9214e-2
     1  177         -9.1801e-2 4.3213e-2-6.1469e-2
     1  178         -0.1613246-0.1928638-0.2092142
     1  179           7.181e-2 7.1466e-2  0.238371
     1  180          1.5185e-2 -0.183032 -0.508224
     1  181          6.8367e-2-7.5032e-2 7.9248e-2
     1  182         -0.1918971-0.2336574 -0.508224
     1  183         -0.3027089-3.0846e-2-0.4486142
     1  184         -4.3728e-3-0.1777708 -0.508224
     1  185         -8.1645e-2 6.0287e-2 -6.131e-2
     1  186         -0.3026682-3.1148e-2-0.3294111
     1  187         -9.7605e-2-0.2374745-0.2125533
     1  188         -0.2155239-0.2155279 -0.508224
     1  189         -0.3042708-8.3206e-4-0.4485436
     1  190          8.3905e-2 5.6121e-2  0.258348
     1  191         -0.3045732-1.1197e-3-0.3293848
     1  192         -0.1997172-0.1919293 -0.508224
     1  193          8.4438e-2 5.6416e-2 0.2383716
     1  194          5.2455e-2-8.6906e-2 7.9229e-2
     1  195         -6.8239e-2 7.4958e-2-6.1298e-2
     1  196          -7.463e-2-0.2426509-0.2106165
     1  197         -0.1794545-0.2089352 -0.508224
     1  198         -0.2987206-6.0501e-2 -0.448627
     1  199         -0.2987357-6.0389e-2-0.3294252
     1  200          9.3063e-2 3.8548e-2  0.258348
     1  201          3.4468e-2-9.5344e-2 7.9221e-2
     1  202         -0.1517238-1.3335e-2 -0.508224
     1  203         -5.2494e-2 8.6785e-2-6.1563e-2
     1  204         -5.0367e-2-0.2476065-0.2101525
     1  205          9.3504e-2 3.8725e-2 0.2383716
     1  206         -0.1598741-0.2271018 -0.508224
     1  207         -0.2909057-8.9138e-2 -0.448625
     1  208         -0.2908364-8.9391e-2 -0.329422
     1  209         -0.1682716-0.2517858 -0.508224
     1  210          1.5282e-2-0.1000174 7.9228e-2
     1  211         -0.1502905-4.1733e-2 -0.508224
     1  212         -3.4429e-2 9.5439e-2-6.1393e-2
     1  213         -2.5446e-2 -0.250742-0.2098587
     1  214          9.9014e-2 1.9646e-2  0.258348
     1  215         -0.2805231-0.1174618 -0.448661
     1  216         -0.2804982-0.1175205-0.3294214
     1  217          9.9064e-2 1.9596e-2   0.23837
     1  218         -4.5482e-3-0.1008701 7.9293e-2
     1  219         -0.1349207-0.2381715 -0.508224
     1  220         -0.1495017-6.8796e-2 -0.508224
     1  221         -1.4986e-2 0.1003686-6.1311e-2
     1  222          1.7069e-3-0.2520406-0.2097874
     1  223           -0.14316-0.2677919 -0.508224
     1  224         -0.2678474 -0.144546-0.4486545
     1  225         -0.2678482-0.1445445-0.3294299
     1  226             0.1016 2.2664e-7  0.258348
     1  227         -2.4568e-2-9.8318e-2 7.9249e-2
     1  228          4.6568e-3 0.1014436-6.1276e-2
     1  229          2.8276e-2-0.2502967-0.2095599
     1  230           0.100949-2.1931e-4 0.2383751
     1  231          -0.109114-0.2487143 -0.508224
     1  232         -0.2526409-0.1702195 -0.448675
     1  233         -0.2526206-0.1702538-0.3294072
     1  234         -5.6496e-3 0.1086678 -0.508224
     1  235         -0.1156469-0.2791882 -0.508224
     1  236         -4.3241e-2-9.1767e-2 7.9211e-2
     1  237         -1.6674e-2 0.1314825 -0.508224
     1  238          2.4192e-2 9.8637e-2-6.1394e-2
     1  239          9.9013e-2-1.9646e-2  0.258348
     1  240         -0.2343401-0.1939643-0.4486624
     1  241          2.7783e-3 0.1381993 -0.508224
     1  242         -0.2344426-0.1938346-0.3294001
     1  243          9.8993e-2 -2.004e-2 0.2383767
     1  244          -6.038e-2-8.1697e-2 7.9204e-2
     1  245         -8.3421e-2-0.2575127 -0.508224
     1  246          0.1229152-0.2236803 -0.211381
     1  247          4.2963e-2 9.1788e-2-6.1449e-2
     1  248          1.3839e-2  0.117059 -0.508224
     1  249         -8.8132e-2-0.2905852 -0.508224
     1  250         -0.2141477-0.2159715-0.4486525
     1  251         -0.2143799 -0.215747-0.3294143
     1  252          9.3063e-2-3.8548e-2  0.258348
     1  253         -7.4943e-2 -6.831e-2 7.9214e-2
     1  254          0.1125479 3.9277e-2 -0.508224
     1  255          6.0285e-2 8.1644e-2-6.1315e-2
     1  256          0.2572537-5.4075e-3-0.2127581
     1  257          9.3292e-2-3.9147e-2 0.2383791
     1  258          -5.626e-2-0.2661467 -0.508224
     1  259         -0.1922251-0.2361227-0.4486746
     1  260          0.1284592 2.1536e-2 -0.508224
     1  261         -0.1925024-0.2359184-0.3294082
     1  262          0.2343599-1.8736e-2-0.2000555
     1  263         -5.9054e-2-0.2970255 -0.508224
     1  264         -8.6509e-2-5.2112e-2 7.9225e-2
     1  265          7.4854e-2 6.8342e-2-6.1294e-2
     1  266          0.1147513 2.0342e-3 -0.508224
     1  267          8.3905e-2-5.6121e-2  0.258348
     1  268         -0.1682097-0.2538174-0.4486493
     1  269         -0.1684486-0.2536413-0.3293958
     1  270          9.6043e-2 1.9872e-2 -0.508224
     1  271          8.4091e-2-5.6777e-2 0.2383816
     1  272         -9.5281e-2-3.4197e-2 7.9247e-2
     1  273         -2.7839e-2-0.2720881 -0.508224
     1  274          8.6925e-2 5.2564e-2-6.1416e-2
     1  275         -2.9525e-2 -0.300913 -0.508224
     1  276         -0.1422846 -0.268818-0.4486262
     1  277         -7.7069e-2-0.1404255 -0.508224
     1  278         -0.1421697 -0.268881-0.3293929
     1  279          0.2044115-0.1395084-0.2071924
     1  280          7.1842e-2-7.1842e-2  0.258348
     1  281         -0.1001189-1.4948e-2 7.9267e-2
     1  282           0.186886-0.1622623-0.2072072
     1  283         -5.2274e-2-0.1542553 -0.508224
     1  284          9.5527e-2  3.458e-2-6.1388e-2
     1  285          7.1507e-2-7.1774e-2 0.2383755
     1  286         -1.3163e-3-0.2756784 -0.508224
     1  287         -0.1151616-0.2815418  -0.44862
     1  288         -0.1150177-0.2815972-0.3294003
     1  289          3.3211e-6-0.3047996 -0.508224
     1  290         -2.7582e-2-0.1673619 -0.508224
     1  291           0.100123 1.5128e-2-6.1275e-2
     1  292          0.2196192-0.1156305-0.2076223
     1  293          5.6121e-2-8.3905e-2  0.258348
     1  294         -9.8352e-2 2.5178e-2 5.9424e-2
     1  295         -8.7039e-2-0.2918936-0.4485946
     1  296         -8.7053e-2-0.2918901-0.3293898
     1  297          5.6026e-2-8.4142e-2  0.238376
     1  298         -0.1012194 5.7857e-3  5.944e-2
     1  299          0.1013341-4.5657e-3 -6.129e-2
     1  300           0.232128-9.0127e-2-0.2080178
     1  301          0.1917451-2.2774e-2 -0.508224
     1  302         -5.7993e-2-0.2988154-0.4485881
     1  303          -5.773e-2-0.2988782-0.3293852
     1  304          0.1816221-4.3477e-2 -0.508224
     1  305          3.8548e-2-9.3063e-2  0.258348
     1  306         -9.1564e-2 4.3774e-2 5.9405e-2
     1  307            2.94e-2-0.1693569 -0.508224
     1  308          0.2430613-6.3275e-2-0.2091439
     1  309            9.85e-2-2.4227e-2-6.1435e-2
     1  310          0.1579154-3.1317e-2 -0.508224
     1  311          3.8444e-2-9.3353e-2 0.2383762
     1  312         -2.8201e-2-0.3028173-0.4486661
     1  313          4.2755e-2-0.1576142 -0.508224
     1  314         -2.8398e-2-0.3027975-0.3293866
     1  315          0.1692196 -1.345e-2 -0.508224
     1  316         -8.1225e-2 6.0779e-2  5.938e-2
     1  317          9.1745e-2-4.3059e-2-6.1408e-2
     1  318          1.9646e-2-9.9014e-2  0.258348
     1  319          1.5629e-3 -0.304237-0.4486521
     1  320          0.2088709 0.1844325-0.2252473
     1  321          5.8457e-2-0.1429838 -0.508224
     1  322          1.6561e-3-0.3042339-0.3294074
     1  323          1.9399e-2-9.9076e-2  0.238381
     1  324          -6.757e-2 7.5373e-2 5.9368e-2
     1  325          2.1585e-2-0.1409966 -0.508224
     1  326          7.6581e-2-0.1268799 -0.508224
     1  327          8.1603e-2-6.0379e-2-6.1263e-2
     1  328          0.1786339 0.1832198-0.2118004
     1  329            7.12e-3-0.1579083 -0.508224
     1  330          3.1431e-2-0.3031137-0.4486461
     1  331          3.1432e-2-0.3031136-0.3294009
     1  332         -1.5593e-2-0.1459463 -0.508224
     1  333          2.2493e-7   -0.1016  0.258348
     1  334         -5.1694e-2 8.7032e-2 5.9379e-2
     1  335          6.8359e-2-7.5039e-2 -6.127e-2
     1  336          0.2549872 1.9962e-2-0.2119979
     1  337         -1.3341e-3-0.1258974 -0.508224
     1  338         -3.4561e-4-0.1010639 0.2383833
     1  339           6.102e-2-0.2981227-0.4486693
     1  340          6.0689e-2-0.2981785-0.3293785
     1  341         -3.3632e-2 9.5641e-2 5.9416e-2
     1  342           0.130127-7.1864e-2 -0.508224
     1  343          5.2455e-2-8.6905e-2-6.1396e-2
     1  344          0.2486424 4.6885e-2-0.2104195
     1  345         -1.9646e-2-9.9013e-2  0.258348
     1  346          0.1431559-0.2677936 -0.508224
     1  347          8.9912e-2-0.2905246-0.4486151
     1  348          8.9742e-2-0.2905771-0.3293851
     1  349         -2.0047e-2-9.9374e-2 0.2383861
     1  350          0.1156412-0.2791905 -0.508224
     1  351         -1.4362e-2 0.1004144 5.9334e-2
     1  352          3.4477e-2-9.5508e-2-6.1374e-2
     1  353          0.2397664 7.4501e-2-0.2091944
     1  354          0.1043535-0.2521755 -0.508224
     1  355          0.1178804-0.2805666-0.4486768
     1  356          3.9146e-2 6.1968e-3 -0.508224
     1  357           0.117821-0.2805942-0.3293914
     1  358           0.128376-0.2403948 -0.508224
     1  359         -3.8548e-2-9.3063e-2  0.258348
     1  360          5.6446e-3 0.1014314 5.9326e-2
     1  361          1.5141e-2-0.1001899-6.1291e-2
     1  362          0.2294175 9.9965e-2-0.2085944
     1  363           2.034e-2 2.6907e-2 -0.508224
     1  364         -3.8882e-2-9.3735e-2 0.2383855
     1  365          0.1449726-0.2679945-0.4486108
     1  366           4.052e-2 4.3279e-2 -0.508224
     1  367          0.1447938-0.2680775-0.3294022
     1  368          2.5181e-2 9.8299e-2 5.9347e-2
     1  369          0.1512226-0.2248577 -0.508224
     1  370          5.8759e-2 2.2508e-2 -0.508224
     1  371         -4.7288e-3-0.1012398-6.1304e-2
     1  372         -0.1919005 0.2336547     -0.24
     1  373         -5.6121e-2-8.3905e-2  0.258348
     1  374          0.1682716-0.2517858 -0.508224
     1  375          0.1702935-0.2520932-0.4486018
     1  376          0.1702509-0.2521204-0.3293922
     1  377         -5.6198e-2-8.4114e-2 0.2383814
     1  378          4.3841e-2 9.1319e-2 5.9371e-2
     1  379          2.7745e-3 4.9513e-2 -0.508224
     1  380         -2.4487e-2-9.8398e-2 -6.133e-2
     1  381          0.1729983-0.2084235 -0.508224
     1  382          0.1941862 -0.234069 -0.448659
     1  383            2.33e-2 6.3529e-2 -0.508224
     1  384          0.1939297-0.2342859-0.3293921
     1  385         -0.1688596-0.1544428-0.1961896
     1  386         -7.1841e-2-7.1843e-2  0.258348
     1  387          0.1919005-0.2336547 -0.508224
     1  388          6.0931e-2 8.0892e-2 5.9368e-2
     1  389         -4.3335e-2-9.1809e-2-6.1274e-2
     1  390         -0.1924662-0.1330035-0.1991151
     1  391         -7.1472e-2-7.1345e-2 0.2383805
     1  392          0.2163355-0.2141874-0.4486264
     1  393          0.2161304-0.2144142-0.3294006
     1  394          2.5719e-2 0.2561647 -0.508224
     1  395           7.563e-2 6.7382e-2 5.9393e-2
     1  396          0.1924872-0.1902176 -0.508224
     1  397          -6.041e-2-8.1676e-2-6.1244e-2
     1  398          0.1507648 0.2022812-0.2097318
     1  399         -8.3904e-2-5.6123e-2  0.258348
     1  400          0.2155282-0.2155235 -0.508224
     1  401          0.2362741-0.1921424 -0.448637
     1  402          0.1623553 5.2657e-2 -0.508224
     1  403          0.2359752-0.1924728-0.3293963
     1  404         -8.4013e-2-5.5906e-2 0.2383767
     1  405          8.7433e-2 5.1288e-2 5.9396e-2
     1  406         -7.4926e-2-6.8492e-2-6.1461e-2
     1  407          0.1256481  0.218118-0.2095095
     1  408          0.2118621-0.1725092 -0.508224
     1  409          0.2536545-0.1678532-0.4486446
     1  410          0.1336823 9.3408e-2 -0.508224
     1  411          0.2534467-0.1681559 -0.329385
     1  412         -9.3062e-2 -3.855e-2  0.258348
     1  413          0.2336576-0.1918968 -0.508224
     1  414          9.5874e-2 3.3489e-2 5.9388e-2
     1  415          0.1009652 0.2327122-0.2107621
     1  416         -8.6633e-2-5.2299e-2-6.1436e-2
     1  417          0.1539436 0.1109749 -0.508224
     1  418         -9.3467e-2-3.8356e-2 0.2383776
     1  419          0.2689302-0.1421123-0.4486148
     1  420          0.2689709-0.1420317-0.3293868
     1  421           0.100301 1.4377e-2 5.9448e-2
     1  422          0.2258246 -0.150234 -0.508224
     1  423         -9.5503e-2-3.4316e-2-6.1317e-2
     1  424          7.6079e-2  0.241706-0.2106162
     1  425          0.1693595 8.7816e-2 -0.508224
     1  426         -9.9013e-2-1.9648e-2  0.258348
     1  427           0.251786-0.1682714 -0.508224
     1  428          0.2819539-0.1151321-0.4486571
     1  429          0.2820072-0.1149787-0.3293899
     1  430          0.1486586 7.2692e-2 -0.508224
     1  431         -9.9363e-2 -1.939e-2 0.2383763
     1  432         -0.1002106-1.5103e-2-6.1332e-2
     1  433          0.1012716-5.4998e-3 5.9435e-2
     1  434           4.962e-2 0.2478444-0.2102149
     1  435          0.2392448-0.1257713 -0.508224
     1  436          7.8781e-2 0.1475154 -0.508224
     1  437          0.2917625-8.6885e-2-0.4486103
     1  438          0.2917698-8.6864e-2-0.3293894
     1  439          0.2677919-0.1431599 -0.508224
     1  440          9.8038e-2-2.5344e-2 5.9417e-2
     1  441          2.2482e-2 0.2515467-0.2099246
     1  442         -9.9014e-2 1.9645e-2-0.1226824
     1  443         -9.9347e-2 2.0247e-2 0.1784955
     1  444          6.0956e-2 0.1613896 -0.508224
     1  445          0.2985923-5.7787e-2-0.4486021
     1  446             0.2986-5.7749e-2-0.3293997
     1  447            -0.1016 1.244e-17-0.1226824
     1  448         -0.1015756  7.283e-4 0.1785833
     1  449          9.1086e-2-4.4038e-2 5.9408e-2
     1  450         -4.8974e-3 0.2521932-0.2097771
     1  451          0.2513989-0.1015465 -0.508224
     1  452         -0.1015417 1.7444e-3-0.1023124
     1  453          0.2791882-0.1156469 -0.508224
     1  454          0.3029097-2.8238e-2-0.4486797
     1  455          0.3029065-2.8286e-2-0.3294053
     1  456          -9.934e-2 2.1256e-2 -0.102192
     1  457         -9.3299e-2 3.9126e-2 0.1785346
     1  458          8.0904e-2-6.0985e-2 5.9428e-2
     1  459         -3.2598e-2 0.2492993-0.2094424
     1  460          2.4363e-2  0.162789 -0.508224
     1  461         -7.5468e-4 0.1612227 -0.508224
     1  462          0.2610123-7.4833e-2 -0.508224
     1  463           0.304692  1.614e-3-0.4486585
     1  464          0.3047102 1.3415e-3-0.3293979
     1  465          0.2905852-8.8132e-2 -0.508224
     1  466         -9.3121e-2 4.0089e-2-0.1024116
     1  467         -8.3725e-2 5.6599e-2 0.1785305
     1  468          6.7431e-2-7.5814e-2 5.9422e-2
     1  469         -5.8654e-2 0.2468329-0.2108286
     1  470         -9.3064e-2 3.8547e-2-0.1226824
     1  471          0.3026983 3.1396e-2-0.4486392
     1  472          0.3027056 3.1286e-2-0.3293896
     1  473         -7.0983e-2 7.1922e-2 0.1785176
     1  474          5.1308e-2-8.7656e-2 5.9403e-2
     1  475         -8.3643e-2 5.7618e-2-0.1021607
     1  476         -0.1192182 0.2223515-0.2100066
     1  477          7.8505e-2-0.2621794 -0.508224
     1  478         -3.8162e-2  0.122615 -0.508224
     1  479          0.2979347 6.1022e-2-0.4486761
     1  480          0.2980164  6.062e-2-0.3293945
     1  481         -8.3906e-2  5.612e-2-0.1226824
     1  482          -9.398e-2 0.2361673-0.2110727
     1  483          8.8128e-2-0.2905868 -0.508224
     1  484         -5.5731e-2  8.449e-2 0.1785169
     1  485           3.344e-2-9.5822e-2 5.9403e-2
     1  486         -6.1779e-2 0.1118354 -0.508224
     1  487          0.2907824 8.9707e-2-0.4486503
     1  488          0.2908042 8.9644e-2-0.3294102
     1  489          -4.804e-2 8.6651e-2 -0.508224
     1  490         -7.0317e-2 7.2997e-2-0.1021783
     1  491         -3.8423e-2 9.3963e-2 0.1785191
     1  492            1.43e-2-0.1002112 5.9465e-2
     1  493          6.7859e-2-0.2371713 -0.508224
     1  494         -7.1843e-2 7.1841e-2-0.1226824
     1  495           9.168e-2-0.2262635 -0.508224
     1  496          0.2810091 0.1178531-0.4486109
     1  497          0.2809918 0.1179027-0.3294129
     1  498         -1.9523e-2 9.9601e-2 0.1785272
     1  499         -5.8728e-3-0.1007916 5.9446e-2
     1  500         -0.1260352 9.0085e-2 -0.508224
     1  501         -5.5257e-2 8.5232e-2-0.1023344
     1  502          0.3009124 2.9529e-2 -0.508224
     1  503          0.2675484 0.1448468-0.4486446
     1  504           0.267553 0.1448377-0.3293874
     1  505         -5.6122e-2 8.3905e-2-0.1226824
     1  506          0.2732693 3.6387e-2 -0.508224
     1  507          2.6805e-4 0.1012372 0.1785413
     1  508         -2.5662e-2-9.8027e-2 5.9418e-2
     1  509          0.1426435-0.2203414-0.2159046
     1  510          -0.136568 6.8413e-2 -0.508224
     1  511          0.2806819 5.6074e-2 -0.508224
     1  512          0.2519732 0.1703025-0.4486444
     1  513          0.2519553 0.1703285 -0.329392
